iter	Passed	Remaining
0	136	136474
1	138	68976
2	139	46392
3	140	35085
4	142	28318
5	143	23839
6	145	20605
7	146	18169
8	147	16264
9	148	14742
10	150	13506
11	151	12462
12	152	11581
13	153	10838
14	155	10192
15	156	9628
16	158	9139
17	159	8695
18	160	8285
19	161	7919
20	162	7594
21	164	7309
22	165	7036
23	169	6884
24	170	6662
25	172	6446
26	173	6259
27	174	6074
28	176	5898
29	177	5731
30	178	5578
31	179	5437
32	181	5322
33	183	5202
34	184	5087
35	185	4978
36	187	4871
37	188	4768
38	189	4674
39	190	4582
40	192	4491
41	194	4435
42	196	4363
43	197	4294
44	198	4220
45	200	4149
46	201	4084
47	202	4020
48	203	3957
49	205	3901
50	206	3851
51	209	3810
52	211	3770
53	212	3719
54	213	3670
55	214	3620
56	215	3571
57	217	3525
58	218	3485
59	220	3447
60	221	3411
61	222	3373
62	224	3335
63	225	3297
64	226	3261
65	227	3224
66	229	3189
67	231	3166
68	233	3147
69	235	3123
70	236	3099
71	237	3067
72	239	3038
73	240	3013
74	242	2987
75	243	2960
76	244	2933
77	245	2906
78	247	2884
79	248	2862
80	250	2840
81	251	2816
82	252	2787
83	253	2763
84	254	2740
85	255	2718
86	257	2701
87	258	2681
88	260	2664
89	262	2653
90	264	2638
91	265	2618
92	266	2599
93	267	2581
94	269	2564
95	270	2546
96	271	2530
97	273	2516
98	274	2499
99	275	2483
100	277	2466
101	278	2451
102	279	2437
103	281	2424
104	282	2409
105	283	2394
106	284	2378
107	286	2363
108	287	2350
109	289	2344
110	291	2331
111	292	2319
112	294	2312
113	295	2299
114	297	2285
115	298	2271
116	299	2256
117	300	2244
118	301	2233
119	303	2222
120	304	2212
121	305	2200
122	307	2190
123	308	2181
124	310	2170
125	311	2158
126	312	2146
127	313	2135
128	314	2123
129	315	2112
130	317	2103
131	318	2096
132	320	2086
133	321	2077
134	322	2068
135	323	2056
136	324	2046
137	325	2036
138	327	2027
139	329	2021
140	331	2021
141	332	2011
142	334	2002
143	335	1993
144	336	1985
145	337	1976
146	338	1966
147	340	1958
148	341	1950
149	343	1943
150	346	1945
151	348	1942
152	349	1933
153	351	1932
154	353	1924
155	354	1916
156	355	1909
157	357	1904
158	359	1899
159	360	1893
160	361	1884
161	363	1877
162	364	1870
163	365	1863
164	367	1858
165	368	1852
166	370	1846
167	371	1839
168	373	1836
169	374	1830
170	376	1824
171	377	1817
172	378	1810
173	379	1803
174	381	1797
175	383	1797
176	385	1791
177	386	1784
178	387	1778
179	389	1772
180	390	1766
181	391	1760
182	392	1753
183	394	1748
184	395	1742
185	396	1737
186	398	1732
187	400	1727
188	401	1722
189	402	1717
190	404	1712
191	405	1706
192	406	1701
193	408	1695
194	409	1691
195	411	1687
196	413	1683
197	414	1680
198	415	1674
199	417	1668
200	418	1664
201	419	1659
202	421	1653
203	422	1649
204	424	1644
205	425	1639
206	426	1634
207	427	1629
208	428	1623
209	430	1619
210	431	1614
211	432	1609
212	434	1604
213	435	1601
214	437	1597
215	439	1593
216	440	1588
217	441	1583
218	442	1579
219	444	1574
220	445	1569
221	446	1564
222	447	1559
223	448	1555
224	450	1551
225	452	1549
226	453	1545
227	455	1541
228	457	1538
229	458	1534
230	459	1530
231	461	1526
232	462	1522
233	463	1518
234	465	1514
235	466	1510
236	467	1505
237	468	1501
238	470	1497
239	471	1493
240	473	1489
241	474	1486
242	475	1482
243	477	1479
244	479	1478
245	481	1476
246	483	1473
247	484	1470
248	486	1466
249	487	1463
250	489	1459
251	490	1456
252	491	1452
253	493	1448
254	494	1445
255	496	1441
256	497	1437
257	498	1434
258	499	1430
259	501	1426
260	502	1421
261	503	1417
262	504	1413
263	505	1410
264	507	1407
265	508	1403
266	509	1399
267	511	1396
268	512	1391
269	513	1388
270	514	1384
271	515	1380
272	517	1376
273	520	1377
274	522	1376
275	523	1373
276	525	1370
277	526	1366
278	527	1362
279	528	1358
280	529	1354
281	530	1351
282	534	1353
283	536	1351
284	537	1348
285	539	1345
286	540	1342
287	541	1339
288	542	1335
289	544	1334
290	547	1333
291	548	1330
292	550	1327
293	551	1325
294	553	1322
295	554	1318
296	555	1315
297	557	1312
298	558	1309
299	560	1307
300	562	1305
301	563	1302
302	565	1299
303	566	1296
304	567	1293
305	568	1289
306	570	1287
307	571	1284
308	573	1282
309	574	1279
310	575	1275
311	577	1272
312	578	1269
313	579	1265
314	580	1262
315	581	1259
316	583	1256
317	584	1253
318	585	1250
319	587	1247
320	588	1245
321	590	1243
322	591	1240
323	592	1236
324	594	1234
325	595	1231
326	597	1229
327	599	1227
328	600	1225
329	602	1222
330	603	1220
331	605	1217
332	606	1214
333	607	1211
334	608	1208
335	609	1204
336	610	1201
337	612	1199
338	613	1196
339	615	1194
340	616	1191
341	617	1188
342	618	1185
343	619	1182
344	621	1179
345	622	1176
346	623	1173
347	626	1173
348	628	1171
349	629	1169
350	631	1168
351	633	1165
352	648	1189
353	650	1186
354	651	1183
355	652	1180
356	654	1178
357	655	1175
358	656	1172
359	658	1171
360	660	1168
361	661	1166
362	662	1162
363	663	1159
364	665	1157
365	666	1154
366	667	1151
367	670	1151
368	672	1149
369	673	1146
370	675	1144
371	676	1141
372	677	1138
373	678	1135
374	679	1132
375	680	1129
376	682	1127
377	683	1125
378	685	1123
379	687	1121
380	688	1118
381	689	1115
382	690	1113
383	692	1110
384	693	1107
385	694	1104
386	696	1102
387	699	1102
388	701	1101
389	702	1099
390	704	1096
391	705	1093
392	706	1091
393	707	1088
394	709	1085
395	710	1083
396	712	1081
397	713	1079
398	714	1076
399	715	1073
400	717	1071
401	718	1068
402	719	1065
403	720	1062
404	721	1059
405	723	1058
406	725	1056
407	726	1054
408	727	1051
409	729	1049
410	730	1046
411	731	1044
412	732	1041
413	733	1038
414	734	1036
415	736	1034
416	738	1032
417	740	1031
418	742	1029
419	743	1026
420	744	1024
421	745	1021
422	747	1019
423	748	1016
424	749	1014
425	751	1012
426	752	1010
427	753	1007
428	755	1005
429	756	1002
430	757	1000
431	758	997
432	759	995
433	761	992
434	762	990
435	763	987
436	765	985
437	766	983
438	768	981
439	769	978
440	770	976
441	771	974
442	772	971
443	774	969
444	775	967
445	776	964
446	779	964
447	780	962
448	782	959
449	783	957
450	784	954
451	785	952
452	786	950
453	788	947
454	789	945
455	790	943
456	792	941
457	794	940
458	795	938
459	797	935
460	798	933
461	799	931
462	800	928
463	802	926
464	803	924
465	804	922
466	805	919
467	807	917
468	808	915
469	809	913
470	811	910
471	812	908
472	813	906
473	814	904
474	816	901
475	817	899
476	818	897
477	819	895
478	821	893
479	822	891
480	823	889
481	825	887
482	826	884
483	828	882
484	829	880
485	830	878
486	831	876
487	833	874
488	834	872
489	836	870
490	837	868
491	838	866
492	840	864
493	841	861
494	842	859
495	843	857
496	844	855
497	846	852
498	847	851
499	849	849
500	851	847
501	852	846
502	854	843
503	855	841
504	856	839
505	857	837
506	858	835
507	859	832
508	862	831
509	864	830
510	865	828
511	867	826
512	868	824
513	869	822
514	871	820
515	872	818
516	873	816
517	875	814
518	877	813
519	878	811
520	879	808
521	881	806
522	882	804
523	883	802
524	884	800
525	886	798
526	887	796
527	889	795
528	891	793
529	892	791
530	893	789
531	894	787
532	896	785
533	897	782
534	898	780
535	899	778
536	900	776
537	902	774
538	904	773
539	905	771
540	906	769
541	908	767
542	909	765
543	910	763
544	911	760
545	912	758
546	913	756
547	914	754
548	916	752
549	917	750
550	919	749
551	920	747
552	921	745
553	922	742
554	924	740
555	925	738
556	926	736
557	927	734
558	929	733
559	931	731
560	933	730
561	934	728
562	935	726
563	936	724
564	937	722
565	938	719
566	940	718
567	941	716
568	943	714
569	944	712
570	945	710
571	947	708
572	948	706
573	949	704
574	950	702
575	951	700
576	952	698
577	954	696
578	955	694
579	957	693
580	958	691
